typesafe http2 pools=1 c=128 bytes=16384 q=32 delay=0: 9405 ok/s p99=15.04ms %{ok: 2000}
Saved 1 scenarios to results/upload-profile-before-call_memory.json
FUNCTION                                                              CALLS     WORDS  PER CALL  [    %]
'Elixir.Mint.HTTP2':set_mode/2                                            1        66     66.00  [ 0.00]
'Elixir.TypeSafe.Client':init/1                                           1        54     54.00  [ 0.00]
'Elixir.TypeSafe.Client':start_configured/1                               1        42     42.00  [ 0.00]
'Elixir.Mint.HTTP2':apply_client_settings/1                               1        42     42.00  [ 0.00]
'Elixir.Mint.HTTP2':'-delete_stream/2-fun-2-'/1                        2261        42      0.02  [ 0.00]
'Elixir.Mint.HTTP2':'-apply_server_settings/2-fun-11-'/2                  1        36     36.00  [ 0.00]
'Elixir.Mint.HTTP2':validate_frame/2                                   6786        33      0.00  [ 0.00]
'Elixir.Mint.HTTP2':handle_settings/3                                     2        30     15.00  [ 0.00]
'Elixir.Mint.HTTP2':'-initiate/5-fun-0-'/2                                1        18     18.00  [ 0.00]
'Elixir.Mint.HTTP2':'-apply_server_settings/2-fun-4-'/2                   1        12     12.00  [ 0.00]
'Elixir.Mint.HTTP2':'-apply_client_settings/2-fun-1-'/2                   3         8      2.67  [ 0.00]
'Elixir.Mint.HTTP2':wrap_error/1                                          1         7      7.00  [ 0.00]
'Elixir.Mint.HTTP2':update_client_initial_window_size/2                   1         6      6.00  [ 0.00]
'Elixir.Mint.HTTP2':'-update_client_initial_window_size/2-fun-0-'/4       1         6      6.00  [ 0.00]
'Elixir.Mint.HTTP2':'-initiate/5-fun-2-'/2                                1         5      5.00  [ 0.00]
'Elixir.Mint.HTTP':controlling_process/2                                  1         4      4.00  [ 0.00]
'Elixir.Mint.HTTP':set_mode/2                                             1         4      4.00  [ 0.00]
'Elixir.TypeSafe.Client':terminate/2                                      1         3      3.00  [ 0.00]
'Elixir.Mint.HTTP2':'-update_client_initial_window_size/2-fun-3-'/2       1         3      3.00  [ 0.00]
'Elixir.Mint.HTTP':close/1                                                1         2      2.00  [ 0.00]
                                                                             26118426            [100.0]
