==> typesafe_ai
Compiling 12 files (.ex)
typesafe http2 pools=1 c=128 bytes=16384 q=32 delay=0: 8108 ok/s p99=17.0ms %{ok: 2000}
Saved 1 scenarios to results/upload-profile-before-call_time.json
FUNCTION                                                                 CALLS  TIME (us)  PER CALL  [    %]
'Elixir.TypeSafe.Client':emit_stop/4                                      2261         29      0.01  [ 0.01]
'Elixir.TypeSafe.Request':'model?'/1                                      2261         27      0.01  [ 0.01]
'Elixir.TypeSafe.Request':'-options/1-fun-0-'/1                           9044         21      0.00  [ 0.01]
'Elixir.TypeSafe.Request':body/2                                          2261         20      0.01  [ 0.01]
'Elixir.TypeSafe.Client':usage/1                                          2261         19      0.01  [ 0.01]
'Elixir.Mint.HTTP2':initiate/5                                               1         19     19.00  [ 0.01]
'Elixir.TypeSafe.Client':outcome/1                                        2261         17      0.01  [ 0.01]
'Elixir.TypeSafe.Client':start_configured/1                                  1         11     11.00  [ 0.00]
'Elixir.Mint.HTTP2':'send_connection_error!'/3                               1         11     11.00  [ 0.00]
'Elixir.TypeSafe.Client':init/1                                              1          8      8.00  [ 0.00]
'Elixir.TypeSafe.Response':'valid_usage?'/1                               2261          7      0.00  [ 0.00]
'Elixir.Mint.HTTP2':controlling_process/2                                    1          5      5.00  [ 0.00]
'Elixir.Mint.HTTP2':set_mode/2                                               1          4      4.00  [ 0.00]
'Elixir.TypeSafe.Client':terminate/2                                         1          1      1.00  [ 0.00]
'Elixir.Mint.HTTP2':update_client_initial_window_size/2                      1          1      1.00  [ 0.00]
'Elixir.Mint.HTTP2':'-initiate/5-fun-0-'/2                                   1          1      1.00  [ 0.00]
'Elixir.TypeSafe.Client':activate/1                                          1          0      0.00  [ 0.00]
'Elixir.TypeSafe.Client':close/1                                             1          0      0.00  [ 0.00]
'Elixir.TypeSafe.Client':stop_connector/1                                    8          0      0.00  [ 0.00]
'Elixir.Mint.HTTP':close/1                                                   1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP':controlling_process/2                                     1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP':set_mode/2                                                1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':apply_client_settings/1                                  1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':apply_client_settings/2                                  1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':apply_server_settings/2                                  1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':close/1                                                  1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':handle_settings/3                                        2          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'validate_client_settings!'/1                            1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'validate_receive_window_update_threshold!'/1            1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'validate_window_size!'/2                                1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':wrap_error/1                                             1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-validate_client_settings!/1-fun-0-'/1                  3          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-update_client_initial_window_size/2-fun-3-'/2          1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-update_client_initial_window_size/2-fun-2-'/2          1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-update_client_initial_window_size/2-fun-0-'/4          1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-set_mode/2-fun-0-'/2                                   1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-initiate/5-fun-3-'/2                                   1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-initiate/5-fun-2-'/2                                   1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-handle_window_update/3-fun-0-'/2                       1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-apply_server_settings/2-fun-11-'/2                     1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-apply_server_settings/2-fun-4-'/2                      1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-apply_server_settings/2-fun-3-'/2                      1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-apply_client_settings/2-fun-1-'/2                      3          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-apply_client_settings/2-fun-0-'/3                      2          0      0.00  [ 0.00]
                                                                                   332773            [100.0]
