typesafe http2 pools=1 c=128 bytes=16384 q=32 delay=0: 11297 ok/s p99=15.94ms %{ok: 2000}
Saved 1 scenarios to results/upload-profile-after-call_time.json
FUNCTION                                                                CALLS  TIME (us)  PER CALL  [    %]
'Elixir.Mint.HTTP2':'-validate_client_settings!/1-fun-0-'/1                 3          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-update_client_initial_window_size/2-fun-3-'/2         1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-update_client_initial_window_size/2-fun-2-'/2         1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-update_client_initial_window_size/2-fun-0-'/4         1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-set_mode/2-fun-0-'/2                                  1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-initiate/5-fun-3-'/2                                  1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-initiate/5-fun-2-'/2                                  1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-handle_window_update/3-fun-0-'/2                      1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-apply_server_settings/2-fun-11-'/2                    1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-apply_server_settings/2-fun-4-'/2                     1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-apply_server_settings/2-fun-3-'/2                     1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-apply_client_settings/2-fun-1-'/2                     3          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'-apply_client_settings/2-fun-0-'/3                     2          0      0.00  [ 0.00]
                                                                                  273133            [100.0]
